公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1558,伸興,4652458,3503163,1149295,--,--,1149295,418485,--,730810,59180,789990,172907,617083,--,--,617083,1835,--,618918,610918,--,6165,612753,--,6165,10.09
1560,中砂,3308839,2213118,1095721,--,--,1095721,441366,--,654355,-32538,621817,127059,494758,--,--,494758,-81,0,494677,--,--,--,--,--,--,3.51
1568,倉佑,1624424,1374719,249705,--,--,249705,146111,158,103752,-2673,101079,15365,85714,-6805,--,78909,2568,--,81477,78855,--,54,81065,--,412,0.81
1582,信錦,7404940,5753417,1651523,--,--,1651523,799221,--,852302,38170,890472,287158,603314,--,--,603314,61988,--,665302,603314,--,0,665302,--,0,4.03
1583,程泰,5541475,4082248,1459227,--,--,1459227,838744,--,620483,30906,651389,140407,510982,--,--,510982,8114,--,519096,399999,--,110983,406687,--,112409,4.01
1589,F-永冠,5373347,3679513,1693834,--,--,1693834,682345,--,1011489,-49670,961819,227560,734259,--,--,734259,90109,--,824368,734497,--,-238,824173,--,195,7.22
1590,F-亞德,6334981,2831243,3503738,0,0,3503738,1642240,--,1861498,1464,1862962,476603,1386359,--,--,1386359,44141,--,1430500,1374515,--,11844,1419098,--,11402,8.07
1592,F-英瑞,3704562,2622405,1082157,--,--,1082157,839852,-4382,237923,-54232,183691,62706,120985,--,--,120985,28568,--,149553,120985,--,--,149553,--,--,1.36
1603,華電,2070896,1843506,227390,--,--,227390,119324,14369,122435,31012,153447,21350,132097,--,--,132097,31525,--,163622,132078,--,19,163575,--,47,0.47
1604,聲寶,8088297,6237750,1850547,--,--,1850547,1647966,--,202581,399641,602222,3154,599068,--,--,599068,60996,--,660064,592678,--,6390,653674,--,6390,1.15
1605,華新,123350580,117020281,6330299,16774,--,6313525,2966483,--,3347042,-90691,3256351,947776,2308575,--,--,2308575,-30089,--,2278486,2087637,--,220938,2059046,--,219440,0.59
1608,華榮,7528605,7454069,74536,--,--,74536,150937,--,-76401,244303,167902,9239,158663,--,--,158663,447521,--,606184,69474,--,89189,508124,--,98060,0.16
